,organism,%_match,BP_Match,NA,NA,MM-1,Len(match),LocF,LocR,Prob,Expect
fabA_2_88,CP032667.1,100,10,0,0,6,15,2989959,2989950,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,6,15,3153064,3153055,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,2,11,3156255,3156246,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,1,10,3191232,3191223,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,1,10,3225974,3225965,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,1,10,3385876,3385867,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,5,14,3467086,3467077,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,2,11,3761241,3761232,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,1,10,3783718,3783709,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,6,15,3809852,3809843,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,11,20,3896552,3896543,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,11,20,3905191,3905182,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,6,15,4006903,4006894,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,2,11,4020905,4020896,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,10,19,4092849,4092840,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,1,10,4238742,4238733,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,11,20,4397734,4397725,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,2,11,4406667,4406658,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,3,12,4470039,4470030,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,11,20,4610968,4610959,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,3,12,141375,141384,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,9,18,192874,192883,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,3,12,323430,323439,244,20.3
fabA_2_88,CP032667.1,92.857,14,1,0,7,20,342603,342616,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,8,17,460518,460527,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,3,12,612604,612613,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,1,10,637211,637220,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,4,13,713513,713522,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,1,10,741859,741868,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,3,12,918114,918123,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,9,18,962444,962453,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,2,11,1085770,1085779,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,1,10,1093864,1093873,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,7,16,1121382,1121391,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,2,11,1163802,1163811,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,2,11,1174759,1174768,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,11,20,1304017,1304026,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,1,10,1379522,1379531,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,8,17,1421747,1421756,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,2,11,1534230,1534239,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,7,16,1568343,1568352,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,6,15,1632785,1632794,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,11,20,1738842,1738851,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,5,14,1758255,1758264,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,3,12,1761619,1761628,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,11,20,1762511,1762520,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,2,11,1799280,1799289,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,1,10,1850342,1850351,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,2,11,1876846,1876855,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,3,12,2006402,2006411,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,11,20,2042882,2042891,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,1,10,2407800,2407809,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,9,18,2503284,2503293,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,2,11,2508410,2508419,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,3,12,2664354,2664363,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,6,15,2728133,2728142,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,6,15,2810456,2810465,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,1,10,2883642,2883651,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,11,20,2980612,2980621,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,1,10,2983465,2983474,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,11,20,2993236,2993245,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,5,14,3008596,3008605,244,20.3
fabA_2_88,CP032667.1,92.857,14,1,0,4,17,3024237,3024250,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,6,15,3078264,3078273,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,1,10,3145900,3145909,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,5,14,3273739,3273748,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,6,15,3299440,3299449,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,1,10,3301675,3301684,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,2,11,3367988,3367997,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,1,10,3545025,3545034,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,3,12,3609105,3609114,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,4,13,3620207,3620216,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,2,11,3667078,3667087,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,9,18,3702211,3702220,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,6,15,3756176,3756185,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,3,12,3772327,3772336,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,1,10,3782753,3782762,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,9,18,3841802,3841811,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,11,20,3924005,3924014,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,5,14,3925488,3925497,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,1,10,3961403,3961412,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,11,20,3972087,3972096,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,5,14,4053465,4053474,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,4,13,4062403,4062412,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,6,15,4198861,4198870,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,11,20,4238811,4238820,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,3,12,4260183,4260192,244,20.3
fabA_2_88,CP032667.1,92.857,14,1,0,4,17,4273176,4273189,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,6,15,4324337,4324346,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,10,19,4465813,4465822,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,5,14,4505442,4505451,244,20.3
fabA_2_88,CP032667.1,100,10,0,0,2,11,4513215,4513224,244,20.3
fabA_2_88,CP032667.1,100,9,0,0,1,9,26482,26474,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,4,12,36513,36505,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,2,10,40694,40686,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,6,14,58334,58326,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,8,16,68710,68702,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,2,10,115968,115960,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,5,13,118429,118421,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,11,19,121085,121077,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,12,20,122012,122004,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,6,14,123718,123710,964,18.3
fabA_2_88,CP032667.1,92.308,13,1,0,2,14,154966,154954,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,3,11,162296,162288,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,1,9,169920,169912,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,3,11,176244,176236,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,2,10,181196,181188,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,6,14,188399,188391,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,1,9,198575,198567,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,7,15,213591,213583,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,3,11,228186,228178,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,1,9,234246,234238,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,6,14,252262,252254,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,2,10,260712,260704,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,5,13,261420,261412,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,11,19,264076,264068,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,1,9,287157,287149,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,4,12,293395,293387,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,1,9,332379,332371,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,4,12,344581,344573,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,11,19,346869,346861,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,3,11,377138,377130,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,3,11,377987,377979,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,4,12,403350,403342,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,2,10,403886,403878,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,1,9,423835,423827,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,12,20,437906,437898,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,11,19,447046,447038,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,3,11,453245,453237,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,5,13,461011,461003,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,10,18,474919,474911,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,1,9,477263,477255,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,12,20,492516,492508,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,2,10,496837,496829,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,3,11,511643,511635,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,1,9,536698,536690,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,12,20,560553,560545,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,2,10,605172,605164,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,8,16,609969,609961,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,12,20,618035,618027,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,10,18,642360,642352,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,10,18,656256,656248,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,5,13,658016,658008,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,1,9,658330,658322,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,1,9,673577,673569,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,8,16,677336,677328,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,3,11,679798,679790,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,5,13,708163,708155,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,3,11,719162,719154,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,1,9,739788,739780,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,6,14,754275,754267,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,4,12,801951,801943,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,9,17,803203,803195,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,2,10,805314,805306,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,2,10,809334,809326,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,3,11,828952,828944,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,6,14,834642,834634,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,1,9,864273,864265,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,1,9,869914,869906,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,2,10,879303,879295,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,3,11,884241,884233,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,10,18,905204,905196,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,2,10,928995,928987,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,8,16,929281,929273,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,1,9,968985,968977,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,6,14,975139,975131,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,11,19,981709,981701,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,2,10,986950,986942,964,18.3
fabA_2_88,CP032667.1,92.308,13,1,0,5,17,1005035,1005023,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,6,14,1012320,1012312,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,9,17,1038010,1038002,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,7,15,1052315,1052307,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,3,11,1067044,1067036,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,7,15,1084214,1084206,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,1,9,1089395,1089387,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,2,10,1118897,1118889,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,3,11,1182128,1182120,964,18.3
fabA_2_88,CP032667.1,92.308,13,1,0,6,18,1189069,1189057,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,2,10,1193374,1193366,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,5,13,1206018,1206010,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,4,12,1216668,1216660,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,10,18,1229148,1229140,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,2,10,1240096,1240088,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,1,9,1281418,1281410,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,1,9,1301309,1301301,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,9,17,1307096,1307088,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,9,17,1318630,1318622,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,4,12,1321116,1321108,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,7,15,1328323,1328315,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,1,9,1341559,1341551,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,10,18,1342290,1342282,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,6,14,1387981,1387973,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,2,10,1399114,1399106,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,2,10,1422462,1422454,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,2,10,1432360,1432352,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,6,14,1447324,1447316,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,1,9,1447416,1447408,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,5,13,1461855,1461847,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,1,9,1474609,1474601,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,7,15,1488338,1488330,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,3,11,1493986,1493978,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,2,10,1502567,1502559,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,4,12,1517304,1517296,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,12,20,1527965,1527957,964,18.3
fabA_2_88,CP032667.1,92.308,13,1,0,4,16,1551007,1550995,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,4,12,1558489,1558481,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,2,10,1588779,1588771,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,1,9,1590328,1590320,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,1,9,1602022,1602014,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,2,10,1603224,1603216,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,2,10,1639578,1639570,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,2,10,1643209,1643201,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,1,9,1656055,1656047,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,2,10,1663035,1663027,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,11,19,1671509,1671501,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,4,12,1725916,1725908,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,1,9,1741788,1741780,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,3,11,1762297,1762289,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,12,20,1763840,1763832,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,3,11,1776554,1776546,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,3,11,1806005,1805997,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,1,9,1808374,1808366,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,2,10,1818375,1818367,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,6,14,1820243,1820235,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,1,9,1833004,1832996,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,2,10,1847820,1847812,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,2,10,1864388,1864380,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,5,13,1866027,1866019,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,9,17,1921434,1921426,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,3,11,1926638,1926630,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,1,9,1926851,1926843,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,11,19,1938839,1938831,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,1,9,1970129,1970121,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,2,10,2023100,2023092,964,18.3
fabA_2_88,CP032667.1,100,9,0,0,7,15,2024831,2024823,964,18.3
