b number,NAME,PRODUCT-NAME,Class,Protein,RNA FISH
b0112,aroP,AroP  phenylalanine/tyrosine/tryptophan APC transporter,noessential,,
b0113,pdhR,PdhR transcriptional dual regulator,noessential,,
b0114,aceE,subunit of E1p component of pyruvate dehydrogenase complex,noessential,1,1
b0115,aceF,AceF-lipoate,noessential,1,1
b0116,lpd,E3 monomer,noessential,1,1
b0117,yacH,putative membrane protein,noessential,,
b0118,acnB,aconitase B,noessential,1,1
b0119,yacL,conserved protein,noessential,1,
b0120,speD,adenosylmethionine decarboxylase; proenzyme,noessential,1,
b0121,speE,spermidine synthase,noessential,,
b0122,yacC,predicted protein,noessential,,
b0123,cueO,multicopper oxidase with role in copper homeostasis,noessential,1,
b0124,gcd,glucose dehydrogenase,noessential,,
b0125,hpt,guanine phosphoribosyltransferase / hypoxanthine phosphoribosyltransferase,noessential,,
b0126,can,carbonic anhydrase 2 monomer,essential,,
b0127,yadG,YadG/YadH ABC transporter,noessential,1,
b0128,yadH,YadG/YadH ABC transporter,noessential,,
b0129,yadI,AgaX,noessential,,
b0130,yadE,predicted polysaccharide deacetylase lipoprotein,noessential,1,
b0131,panD,PanD &beta; cleavage product,noessential,,
b0132,yadD,predicted transposase,noessential,,
b0133,panC,pantoate-&beta;-alanine ligase monomer,noessential,1,
b0134,panB,3-methyl-2-oxobutanoate hydroxymethyltransferase monomer,noessential,,
b0135,yadC,predicted fimbrial-like adhesin protein,noessential,,
b0136,yadK,predicted fimbrial-like adhesin protein,noessential,,
b0137,yadL,predicted fimbrial-like adhesin protein,noessential,,
b0138,yadM,predicted fimbrial-like adhesin protein,noessential,,
b0139,htrE,putative outer membrane porin protein involved in fimbrial assembly,noessential,1,
b0140,ecpD,probable pilin chaperone similar to PapD,noessential,,
b0141,yadN,predicted fimbrial-like adhesin protein,noessential,,
b0142,folK,6-hydroxymethyl-7;8-dihydropterin pyrophosphokinase,essential,,
b0143,pcnB,poly(A) polymerase I,noessential,1,
b0144,yadB,glutamyl-Q tRNA(Asp) synthetase,noessential,1,
b0145,dksA,RNA polymerase-binding transcription factor,noessential,,
b0146,sfsA,predicted DNA-binding transcriptional regulator of maltose metabolism,noessential,,
b0147,ligT,2'-5' RNA ligase,noessential,1,
b0148,hrpB,predicted ATP-dependent helicase,noessential,,
b0149,mrcB,murein synthesizing holoenzyme,noessential,1,
b0150,fhuA,FhuA outer membrane protein receptor for ferrichrome; colicin M; and phages T1; T5; and phi80,noessential,1,
b0151,fhuC,ferrichrome uptake system,noessential,1,
b0152,fhuD,ferrichrome uptake system,noessential,,
b0153,fhuB,ferrichrome uptake system,noessential,,
b0154,hemL,glutamate-1-semialdehyde aminotransferase,essential,,
b0155,clcA,EriC chloride ion ClC channel,noessential,,
b0156,erpA,essential respiratory protein A,essential,1,1
b0157,yadS,conserved inner membrane protein,noessential,,
b0158,btuF,periplasmic vitamin B12 binding protein,noessential,,
b0159,mtn,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase monomer,noessential,,
b0160,dgt,deoxyguanosinetriphosphate triphosphohydrolase,noessential,,
b0161,degP,serine protease Do,noessential,,
b0162,cdaR,CdaR transcriptional activator,noessential,1,
b0163,yaeH,conserved protein,noessential,1,1
b0164,yaeI,phosphodiesterase,noessential,,
b0166,dapD,tetrahydrodipicolinate succinylase subunit,essential,,
b0167,glnD,uridylyltransferase / uridylyl-removing enzyme,noessential,1,
b0168,map,methionine aminopeptidase,essential,1,1
b0169,rpsB,30S ribosomal subunit protein S2,essential,,
b0170,tsf,protein chain elongation factor EF-Ts,essential,1,
b0171,pyrH,uridylate kinase,essential,1,1
b0172,frr,ribosome recycling factor,essential,1,
b0173,dxr,1-deoxy-D-xylulose 5-phosphate reductoisomerase,essential,,
b0174,ispU,subunit of undecaprenyl diphosphate synthase,essential,1,
b0175,cdsA,CDP-diglyceride synthetase,essential,,
b0176,rseP,RseP zinc protease,essential,,
b0177,yaeT,Outer Membrane Protein Assembly Complex,essential,,
b0178,hlpA,periplasmic chaperone,noessential,1,
b0179,lpxD,UDP-3-O-[3-hydroxymyristoyl]glucosamine N-acetyltransferase,essential,1,1
b0180,fabZ,&beta;-hydroxyacyl-ACP dehydratase,essential,1,1
b0181,lpxA,UDP-N-acetylglucosamine acyltransferase,essential,,
b0182,lpxB,lipid A disaccharide synthase,essential,1,
b0183,rnhB,RNAse HII;  degrades RNA of DNA-RNA hybrids,noessential,,
b0184,dnaE,DNA polymerase III; &alpha; subunit,essential,1,
b0185,accA,acetyl-CoA carboxylase,essential,,
b0186,ldcC,lysine decarboxylase 2,noessential,1,
b0187,yaeR,predicted lyase,noessential,1,
b0188,tilS,tRNA<sup>Ile</sup>-lysidine synthetase,essential,,
b0189,rof,modulator of Rho-dependent transcription termination,noessential,,
b0190,yaeQ,conserved protein,noessential,1,
b0191,yaeJ,conserved protein,noessential,1,
b0192,nlpE,outer membrane lipoprotein NlpE; involved in surface sensing,noessential,,
b0193,yaeF,predicted lipoprotein,noessential,,
b0194,proS,prolyl-tRNA synthetase,essential,,
b0195,yaeB,conserved protein,noessential,,
b0196,rcsF,RcsF-P,noessential,,
b0197,metQ,L- and D-methionine uptake ABC permease,noessential,1,
b0198,metI,L- and D-methionine uptake ABC permease,noessential,,
b0199,metN,L- and D-methionine uptake ABC permease,noessential,,
b0200,gmhB,D;D-heptose 1;7-bisphosphate phosphatase,noessential,,
b0201,rrsH,rrsH 16S ribosomal RNA,noessential,,
b0202,ileV,tRNA<SUP>ileV</SUP>,noessential,,
b0203,alaV,tRNA<SUP>alaV</SUP>,noessential,,
b0204,rrlH,rrlH 23S ribosomal RNA,noessential,,
b0205,rrfH,rrfH 5S ribosomal RNA,noessential,,
b0206,aspU,tRNA<SUP>aspU</SUP>,noessential,,
b0207,dkgB,4-nitrobenzaldehyde reductase [multifunctional],noessential,,
b0208,yafC,predicted DNA-binding transcriptional regulator  LYSR-type,noessential,1,
b0209,yafD,conserved protein,noessential,1,
b0210,yafE,predicted S-adenosylmethionine-dependent methyltransferase,noessential,,
b0211,mltD,MltD membrane-bound lytic murein transglycosylase D,noessential,1,
b0212,gloB,glyoxalase II,noessential,1,
b0213,yafS,predicted S-adenosyl-L-methionine-dependent methyltransferase,noessential,,
b0214,rnhA,RNase HI; degrades RNA of DNA-RNA hybrids; participates in DNA replication,noessential,,
b0215,dnaQ,DNA polymerase III; &epsilon; subunit,noessential,,
b0216,aspV,tRNA<SUP>aspV</SUP>,noessential,,
b0217,yafT,predicted aminopeptidase,noessential,,
b0218,yafU,predicted inner membrane protein,noessential,,
b0219,yafV,predicted C-N hydrolase family amidase; NAD(P)-binding,noessential,1,
b0220,ivy,inhibitor of vertebrate C-type lysozyme,noessential,,
b0221,fadE,acyl-CoA dehydrogenase,noessential,1,
b0222,lpcA,D-sedoheptulose 7-phosphate isomerase,noessential,,
b0223,yafJ,predicted amidotransferase,noessential,,
b0224,yafK,conserved protein,noessential,,
b0225,yafQ,toxin of the YafQ-DinJ toxin-antitoxin system,noessential,,
b0226,dinJ,antitoxin of YafQ-DinJ toxin-antitoxin system,noessential,1,
b0227,yafL,predicted lipoprotein and C40 family peptidase,noessential,,
b0228,yafM,conserved protein,noessential,1,
b0231,dinB,DNA polymerase IV (Y-family DNA polymerase; translesion DNA synthesis),noessential,,
b0232,yafN,conserved hypothetical protein with a possible role in spontaneous mutagenesis,noessential,,
b0233,yafO,conserved protein with a possible role in spontaneous mutagenesis;  toxin of a putative toxin-antitoxin pair,noessential,1,
b0234,yafP,predicted acyltransferase with acyl-CoA N-acyltransferase domain,noessential,,
b0237,pepD,peptidase D,noessential,1,1
b0238,gpt,xanthine phosphoribosyltransferase [multifunctional],noessential,,
b0239,frsA,fermentation/respiration switch protein,noessential,1,
b0240,crl,Crl transcriptional regulator,noessential,,
b0241,phoE,outer membrane pore protein E,noessential,,
b0242,proB,&gamma;-glutamyl kinase-GP-reductase multienzyme complex,noessential,,
b0243,proA,&gamma;-glutamyl kinase-GP-reductase multienzyme complex,noessential,1,
b0244,thrW,tRNA<SUP>thrW</SUP>,noessential,,
b0245,ykfI,toxin of the YkfI-YafW toxin-antitoxin pair,noessential,,
b0246,yafW,antitoxin of the YkfI-YafW toxin-antitoxin pair,noessential,,
b0247,ykfG,CP4-6 prophage; predicted DNA repair protein,noessential,,
b0248,yafX,CP4-6 prophage; predicted protein,noessential,,
b0249,ykfF,CP4-6 prophage; predicted protein,noessential,,
b0250,ykfB,CP4-6 prophage; predicted protein,noessential,,
b0251,yafY,CP4-6 prophage; inner membrane lipoprotein,noessential,,
b0252,yafZ,CP4-6 prophage; conserved protein,noessential,,
b0253,ykfA,CP4-6 prophage; predicted GTP-binding protein,noessential,,
b0254,perR,PerR transcriptional regulator,noessential,,
b0255,insN-1,CP4-6 prophage; partial regulator of insertion element IS911A,noessential,,
b0256,insI-1,transposase of IS30,noessential,,
b0257,insO-1,CP4-6 prophage; partial transposase of insertion element IS911A; interrupted by insertion of IS30 element,,,
b0258,ykfC,CP4-6 prophage; conserved protein,noessential,,
b0259,insH-1,IS5 transposase and trans-activator,noessential,,
b0260,mmuP,MmuP APC transporter,noessential,,
b0261,mmuM,homocysteine methyltransferase,noessential,,
b0262,afuC,CP4-6 prophage; predicted ferric transporter subunit/ATP-binding component of ABC superfamily,noessential,,
b0263,afuB,AfuB,noessential,,
b0264,insB-2,IS1 protein InsB,noessential,,
b0265,insA-2,IS1 protein InsA,noessential,,
b0266,yagB,CP4-6 prophage; conserved protein,noessential,,
b0267,yagA,CP4-6 prophage; predicted DNA-binding transcriptional regulator,noessential,,
b0268,yagE,CP4-6 prophage; predicted lyase/synthase,noessential,,
b0269,yagF,CP4-6 prophage; predicted dehydratase,noessential,,
b0270,yagG,YagG GPH Transporter,noessential,,
b0271,yagH,putative &beta;-xylosidase,noessential,,
b0272,yagI,CP4-6 prophage; predicted DNA-binding transcriptional regulator,noessential,,
b0273,argF,ornithine carbamoyltransferase,noessential,,
b0274,insB-3,IS1 protein InsB,noessential,,
b0275,insA-3,IS1 protein InsA,noessential,,
b0276,yagJ,CP4-6 prophage; predicted protein,noessential,,
b0277,yagK,CP4-6 prophage; conserved protein,noessential,,
b0278,yagL,CP4-6 prophage; DNA-binding protein,noessential,,
b0279,yagM,CP4-6 prophage; predicted protein,noessential,,
b0280,yagN,CP4-6 prophage; predicted protein,noessential,,
b0281,intF,CP4-6 prophage; predicted phage integrase,noessential,,
b0282,yagP,predicted transcriptional regulator LYSR-type,noessential,,
b0283,yagQ,conserved protein,noessential,,
b0284,yagR,putative molybdenum cofactor-binding oxidoreductase,noessential,,
b0285,yagS,putative oxidoreductase; FAD-binding domain,noessential,,
b0286,yagT,putative oxidoreductase; Fe-S subunit,noessential,,
b0287,yagU,conserved inner membrane protein,noessential,,
b0288,ykgJ,predicted ferredoxin,noessential,,
b0289,yagV,conserved protein,noessential,,
b0290,yagW,predicted receptor,noessential,,
b0291,yagX,predicted aromatic compound dioxygenase,noessential,,
b0292,matC,predicted protein,noessential,,
b0293,matB,conserved fimbrillin,noessential,,
b0294,matA,predicted regulator,noessential,,
b0295,ykgL,predicted protein,noessential,,
b0296,ykgM,predicted ribosomal protein,noessential,,
b0298,insE-1,IS3 element protein InsE,noessential,,
b0299,insF-1,IS3 element protein InsF,noessential,,
b0300,ykgA,predicted DNA-binding transcriptional regulator,noessential,,
b0301,ykgB,conserved inner membrane protein,noessential,,
b0303,ykgI,predicted protein,noessential,,
b0304,ykgC,predicted oxidoreductase with FAD/NAD(P)-binding domain and dimerization domain,noessential,,
b0305,ykgD,predicted DNA-binding transcriptional regulator,noessential,,
b0306,ykgE,predicted oxidoreductase,noessential,,
b0307,ykgF,predicted amino acid dehydrogenase with NAD(P)-binding domain and ferridoxin-like domain,noessential,,
b0308,ykgG,predicted transporter,noessential,,
b0310,ykgH,predicted inner membrane protein,noessential,,
b0311,betA,choline dehydrogenase,noessential,,
b0312,betB,betaine aldehyde dehydrogenase,noessential,,
b0313,betI,BetI transcriptional repressor,noessential,,
b0314,betT,BetT choline BCCT transporter,noessential,,
b0315,yahA,phosphodiesterase; c-di-GMP-specific,noessential,,
b0316,yahB,predicted DNA-binding transcriptional regulator LYSR-type,noessential,,
b0317,yahC,predicted inner membrane protein,noessential,,
b0318,yahD,predicted transcriptional regulator with ankyrin domain,noessential,,
b0319,yahE,predicted protein,noessential,,
b0320,yahF,predicted acyl-CoA synthetase with NAD(P)-binding domain and succinyl-CoA synthetase domain,noessential,,
b0321,yahG,conserved protein,noessential,,
b0322,yahH,predicted protein,noessential,,
b0323,yahI,predicted carbamate kinase-like protein,noessential,,
b0324,yahJ,predicted deaminase with metallo-dependent hydrolase domain,noessential,,
b0325,yahK,predicted oxidoreductase; Zn-dependent and NAD(P)-binding,noessential,,
b0326,yahL,predicted protein,noessential,,
b0327,yahM,predicted protein,noessential,,
b0328,yahN,predicted neutral amino acid efflux system,noessential,,
b0329,yahO,predicted protein,noessential,,
b0330,prpR,PrpR transcriptional dual regulator,noessential,,
b0331,prpB,2-methylisocitrate lyase,noessential,,
b0333,prpC,methylcitrate synthase,noessential,,
b0334,prpD,2-methylcitrate dehydratase,noessential,,
b0335,prpE,putative propionyl-CoA synthetase,noessential,,
b0336,codB,CodB cytosine NCS1 transporter,noessential,,
b0337,codA,cytosine deaminase,noessential,,
b0338,cynR,CynR transcriptional dual regulator,noessential,,
b0339,cynT,carbonic anhydrase monomer,noessential,,
b0340,cynS,cyanase monomer,noessential,,
b0341,cynX,CynX cyanate MFS transporter,noessential,,
b0342,lacA,galactoside O-acetyltransferase monomer,noessential,,
b0343,lacY,LacY lactose MFS transporter,noessential,,
b0344,lacZ,&beta;-galactosidase monomer,noessential,,
b0345,lacI,LacI transcriptional repressor,noessential,,
b0346,mhpR,MhpR transcriptional activator,noessential,,
b0347,mhpA,3-(3-hydroxyphenyl)propionate 2-hydroxylase,noessential,,
b0348,mhpB,3-(2;3-dihydroxyphenyl)propionate dioxygenase,noessential,,
b0349,mhpC,2-hydroxy-6-ketonona-2;4-dienedioate hydrolase,noessential,,
b0350,mhpD,2-keto-4-pentenoate hydratase,noessential,,
b0351,mhpF,acetaldehyde dehydrogenase 2,noessential,1,
b0352,mhpE,4-hydroxy-2-ketovalerate aldolase,noessential,1,
b0353,mhpT,MhpT MFS transporter,noessential,,
b0354,yaiL,nucleoprotein/polynucleotide-associated enzyme,noessential,,
b0355,frmB,<i>S</i>-formylglutathione hydrolase,noessential,,
b0356,frmA,formaldehyde dehydrogenase; glutathione-dependent,noessential,1,
b0357,frmR,regulator protein,noessential,1,1
b0358,yaiO,outer membrane protein,noessential,,
b0359,yaiX,predicted acyl transferase (pseudogene),noessential,,
b0360,insC-1,IS2 element protein InsA,noessential,,
b0361,insD-1,IS2 element protein,noessential,,
b0362,yaiF,predicted protein,noessential,,
b0363,yaiP,predicted glucosyltransferase,noessential,,
b0364,yaiS,conserved protein,noessential,,
b0365,tauA,taurine ABC transporter,noessential,,
b0366,tauB,taurine ABC transporter,noessential,,
b0367,tauC,taurine ABC transporter,noessential,,
b0368,tauD,taurine dioxygenase,noessential,,
b0369,hemB,porphobilinogen synthase,essential,,
b0371,yaiT,conserved protein,noessential,,
b0372,insF-2,IS3 element protein InsF,noessential,,
b0373,insE-2,IS3 element protein InsE,noessential,,
b0374,yaiU,putative flagellin structural protein,noessential,,
b0375,yaiV,predicted DNA-binding transcriptional regulator,noessential,,
b0376,ampH,penicillin-binding protein,noessential,,
b0377,sbmA,predicted transporter,noessential,,
b0378,yaiW,predicted DNA-binding transcriptional regulator,noessential,,
b0379,yaiY,inner membrane protein,noessential,,
b0380,yaiZ,predicted inner membrane protein,noessential,,
b0381,ddlA,D-alanine-D-alanine ligase A,noessential,1,
b0382,iraP,anti-adaptor protein for &sigma;<sup>S</sup> stabilization,noessential,,1
b0383,phoA,alkaline phosphatase,noessential,,
b0384,psiF,conserved protein,noessential,,
b0385,adrA,predicted diguanylate cyclase,noessential,,
b0386,proC,pyrroline-5-carboxylate-reductase,noessential,,
b0387,yaiI,conserved protein,noessential,1,
b0388,aroL,shikimate kinase II,noessential,,
b0389,yaiA,predicted protein,noessential,1,
b0390,aroM,conserved protein,noessential,,
b0391,yaiE,conserved protein,noessential,1,1
b0392,ykiA,predicted protein,noessential,,
b0393,rdgC,nonspecific DNA binding protein; nucleoid component,noessential,,
b0394,mak,manno(fructo)kinase,noessential,,
b0396,araJ,AraJ MFS transporter,noessential,,
b0397,sbcC,ATP-dependent dsDNA exonuclease,noessential,1,
b0398,sbcD,ATP-dependent dsDNA exonuclease,noessential,,
b0399,phoB,PhoB-Phosphorylated transcriptional dual regulator,noessential,,
b0400,phoR,PhoR-P<SUP>his</SUP>,noessential,1,
b0401,brnQ,BrnQ branched chain amino acid LIVCS transporter,noessential,,
b0402,proY,ProY cryptic proline APC transporter,noessential,,
b0403,malZ,maltodextrin glucosidase,noessential,,
b0404,acpH,acyl carrier protein phosphodiesterase,noessential,,
b0405,queA,S-adenosylmethionine:tRNA ribosyltransferase-isomerase,noessential,,
b0406,tgt,tRNA-guanine transglycosylase monomer,noessential,,
b0407,yajC,Sec Protein Secretion Complex,noessential,1,1
b0408,secD,Sec Protein Secretion Complex,essential,,
b0409,secF,Sec Protein Secretion Complex,essential,,
b0410,yajD,conserved protein,noessential,,
b0411,tsx,nucleoside channel; receptor of phage T6 and colicin K,noessential,,
b0412,yajI,predicted lipoprotein,noessential,,
b0413,nrdR,NrdR transcriptional repressor,noessential,,
b0414,ribD,fused diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase,essential,,
b0415,ribE,6;7-dimethyl-8-ribityllumazine synthase,essential,,
b0416,nusB,transcription antitermination protein NusB,essential,,
b0417,thiL,thiamine monophosphate kinase,essential,,
b0418,pgpA,phosphatidylglycerophosphatase A,noessential,,
b0419,yajO,putative NAD(P)H-dependent xylose reductase,noessential,,
b0420,dxs,1-deoxyxylulose-5-phosphate synthase,essential,1,
b0421,ispA,geranyl diphosphate synthase / farnesyl diphosphate synthase,essential,1,
b0422,xseB,exonuclease VII; small subunit,noessential,,
b0423,thiI,ThiI,noessential,,
b0424,yajL,conserved protein,noessential,,
b0425,panE,2-dehydropantoate reductase,noessential,,
b0426,yajQ,nucleotide binding protein,noessential,1,1
b0427,yajR,YajR MFS transporter,noessential,,
b0428,cyoE,heme O synthase,noessential,1,
b0429,cyoD,cytochrome <i>bo</i> terminal oxidase subunit IV,noessential,1,1
b0430,cyoC,cytochrome <i>bo</i> terminal oxidase subunit III,noessential,1,
b0431,cyoB,cytochrome <i>bo</i> terminal oxidase subunit I,noessential,,
b0432,cyoA,cytochrome <i>bo</i> terminal oxidase subunit II,noessential,,
b0433,ampG,AmpG muropeptide MFS transporter,noessential,,
b0434,yajG,predicted lipoprotein,noessential,1,
b0435,bolA,BolA transcriptional dual regulator,noessential,1,1
b0436,tig,trigger factor; a molecular chaperone involved in cell division,noessential,1,1
b0437,clpP,ClpAXP,noessential,1,1
b0438,clpX,ClpAXP,noessential,,
b0439,lon,DNA-binding; ATP-dependent protease La,noessential,1,1
b0440,hupB,Transcriptional dual regulator  HU-&beta;; NS1 (HU-1),noessential,1,1
b0441,ppiD,peptidyl-prolyl cis-trans isomerase,noessential,,
b0442,ybaV,conserved protein,noessential,,
b0443,ybaW,conserved protein,noessential,,
b0444,queC,enzyme in preQ<sub>0</sub> biosynthesis ,noessential,1,
b0445,ybaE,predicted transporter subunit: periplasmic-binding component of ABC superfamily,noessential,1,
b0446,cof,pyridoxal phosphatase / HMP-PP hydrolase,noessential,,
b0447,ybaO,putative LRP-like transcriptional regulator,noessential,,
b0448,mdlA,predicted multidrug transporter subunit of ABC superfamily: ATP-binding component,noessential,1,
b0449,mdlB,predicted multidrug transporter subunit of ABC superfamily: ATP-binding component,noessential,1,
b0450,glnK,uridylyl-[GlnK],noessential,,
b0451,amtB,ammonium Amt transporter,noessential,,
b0452,tesB,thioesterase II,noessential,,
b0453,ybaY,predicted outer membrane lipoprotein,noessential,,
b0454,atl,DNA base-flipping protein,noessential,1,
b0455,ffs,4.5S RNA component of the signal recognition particle (SRP),essential,,
b0456,ybaA,conserved protein,noessential,1,
b0457,ylaB,conserved inner membrane protein,noessential,,
b0458,ylaC,predicted inner membrane protein,noessential,,
b0459,maa,maltose acetyltransferase,noessential,1,
b0460,hha,haemolysin expression modulating protein,noessential,,
b0461,ybaJ,predicted protein,noessential,1,
b0462,acrB,AcrB RND-type permease,noessential,,
b0463,acrA,AcrA Membrane Fusion Protein,noessential,,
b0464,acrR,AcrR transcriptional repressor,noessential,,
b0465,kefA,KefA,noessential,,
b0466,ybaM,predicted protein,noessential,,
b0467,priC,primosomal replication protein N'',noessential,,
b0468,ybaN,conserved inner membrane protein,noessential,,
b0469,apt,adenine phosphoribosyltransferase,noessential,,
b0470,dnaX,DNA polymerase III; &gamma; subunit,essential,1,
b0471,ybaB,conserved protein,noessential,1,
b0472,recR,recombination and repair,noessential,,
b0473,htpG,HtpG monomer,noessential,,
b0474,adk,adenylate kinase,essential,1,1
b0475,hemH,ferrochelatase,essential,1,
b0476,aes,acetyl-esterase,noessential,,
b0477,gsk,guanosine kinase / inosine kinase,noessential,,
